id,gps_height,longitude,latitude,basin,region,region_code,district_code,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type_group,management,payment,water_quality,quantity,source,waterpoint_type,year_rec,month_rec,age
50785,1996,35.2907992,-4.05969643,Internal,Manyara,21,3,other,321.0,True,Parastatal,True,2012,other,parastatal,never pay,soft,seasonal,rainwater harvesting,other,2013,2,1
51630,1569,36.65670893,-3.30921425,Pangani,Arusha,2,2,rural,300.0,True,VWC,True,2000,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2013,2,13
17168,1567,34.76786315,-5.00434437,Internal,Singida,13,2,rural,500.0,True,VWC,False,2010,other,vwc,never pay,soft,insufficient,rainwater harvesting,other,2013,2,3
45559,267,38.05804609,-9.41867222,Ruvuma / Southern Coast,Lindi,80,43,other,250.0,False,VWC,True,1987,other,vwc,unknown,soft,dry,shallow well,other,2013,1,26
49871,1260,35.00612345,-10.950412,Ruvuma / Southern Coast,Ruvuma,10,3,other,60.0,False,Water Board,True,2000,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,2013,3,13
52449,1685,36.68527855,-3.30242017,Pangani,Arusha,2,2,rural,200.0,True,VWC,True,1990,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2013,3,23
24806,550,36.39804116,-7.54138236,Rufiji,Iringa,11,7,other,600.0,True,VWC,True,2007,india mark ii,vwc,never pay,salty,enough,machine dbh,hand pump,2011,3,4
28965,234,39.60741997,-10.89378645,Ruvuma / Southern Coast,Mtwara,9,4,other,1.0,True,Water Board,True,1982,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe multiple,2013,1,31
36301,584,39.26295070000001,-10.82358805,Ruvuma / Southern Coast,Mtwara,90,33,other,40.0,True,VWC,False,1997,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,2013,1,16
54122,1083,37.09610836,-3.25175375,Pangani,Kilimanjaro,3,7,other,1.0,True,Water Board,True,2003,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,2013,3,10
419,1259,37.23324768,-3.24112116,Pangani,Kilimanjaro,3,5,other,75.0,True,Water Board,True,2006,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,2013,10,7
45750,608,37.68639178,-4.55597478,Pangani,Manyara,21,4,other,500.0,True,unknown,True,2002,other,vwc,never pay,soft,dry,rainwater harvesting,other,2013,2,11
653,874,33.66107435,-4.16572015,Internal,Tabora,14,2,other,229.0,True,Other,True,1970,mono,vwc,unknown,soft,dry,machine dbh,communal standpipe multiple,2012,10,42
14017,191,33.00768032,-3.2095291,Lake Victoria,Mwanza,19,4,other,132.0,True,VWC,True,1972,mono,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,2011,7,39
44607,1625,35.61562385,-7.87029042,Rufiji,Iringa,11,1,rural,1.0,True,VWC,True,1984,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,3,27
40228,916,35.48288627,-10.91259619,Ruvuma / Southern Coast,Ruvuma,10,2,rural,132.0,True,VWC,True,1989,gravity,vwc,pay annually,soft,enough,river,communal standpipe multiple,2013,6,24
27714,94,39.85018977,-7.72794628,Rufiji,Pwani,6,6,other,900.0,True,VWC,False,2009,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2011,2,2
28785,1793,38.25402354,-4.5658016,Pangani,Tanga,4,1,other,1.0,True,VWC,True,1978,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,3,33
28330,56,31.58679783,-3.38780779,Lake Tanganyika,Shinyanga,17,5,other,157.0,True,Parastatal,True,1980,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,communal standpipe,2012,10,32
18532,368,39.43852591,-10.58336646,Ruvuma / Southern Coast,Mtwara,9,4,other,300.0,True,Water Board,True,1982,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe,2013,2,31
69961,31,39.32230666,-6.85026202,Wami / Ruvu,Dar es Salaam,7,3,other,120.0,True,SWC,False,2010,submersible,other - school,never pay,soft,enough,machine dbh,communal standpipe,2013,3,3
55083,1674,34.94362033,-9.35251465,Rufiji,Iringa,11,4,other,30.0,True,VWC,False,2008,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2011,3,3
8691,1087,31.04608844,-5.05419563,Lake Tanganyika,Kigoma,16,3,rural,1750.0,True,VWC,True,2005,other,vwc,unknown,milky,enough,shallow well,other,2013,2,8
30331,1441,34.62104755,-5.16592646,Internal,Singida,13,2,rural,1.0,True,VWC,False,1970,mono,vwc,unknown,unknown,dry,machine dbh,communal standpipe,2013,2,43
70970,56,33.72235857,-3.04712172,Lake Victoria,Shinyanga,17,2,other,229.0,True,WUG,False,1988,nira/tanira,wug,never pay,soft,enough,shallow well,hand pump,2012,10,24
61136,1726,34.92959242,-9.15287185,Rufiji,Iringa,11,4,other,50.0,True,VWC,False,2008,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,2,3
28799,986,35.42444315,-10.57968552,Ruvuma / Southern Coast,Ruvuma,10,2,rural,188.0,True,VWC,True,2009,gravity,vwc,never pay,soft,dry,river,communal standpipe,2013,2,4
46825,660,35.89487669,-6.14752205,Wami / Ruvu,Dodoma,1,5,urban,157.0,True,VWC,False,1982,mono,vwc,pay per bucket,salty,dry,machine dbh,communal standpipe multiple,2011,4,29
44718,56,33.24487860139598,-3.491473498386441,Lake Victoria,Shinyanga,17,1,other,182.0,True,WUG,False,1976,nira/tanira,wug,pay when scheme fails,salty abandoned,enough,shallow well,hand pump,2013,2,37
37350,1309,36.29176128,-5.24231281,Internal,Manyara,21,5,other,860.0,True,VWC,False,2002,gravity,vwc,never pay,soft,seasonal,rainwater harvesting,communal standpipe,2013,2,11
65738,1564,35.6124173,-3.35116762,Internal,Arusha,24,30,other,200.0,True,VWC,True,2002,gravity,vwc,pay per bucket,soft,enough,river,communal standpipe,2013,12,11
3271,743,32.86178245,-3.92819891,Internal,Tabora,14,1,other,182.0,False,VWC,True,1976,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe,2012,10,36
42658,642,33.12453405,-4.85766882,Lake Tanganyika,Tabora,14,3,other,180.0,True,VWC,True,2012,afridev,vwc,never pay,soft,seasonal,shallow well,hand pump,2012,11,0
67523,1537,35.66507527,-3.34770932,Internal,Arusha,24,30,other,300.0,True,VWC,True,1998,gravity,vwc,pay per bucket,coloured,enough,river,communal standpipe multiple,2013,3,15
37034,1489,34.72199105,-8.86253212,Rufiji,Iringa,11,4,other,360.0,True,WUA,True,1978,gravity,wua,pay monthly,soft,enough,river,communal standpipe,2011,3,33
42432,1798,34.70534261,-9.1394961,Rufiji,Iringa,11,4,other,45.0,True,WUA,True,1978,gravity,wua,pay monthly,soft,enough,river,communal standpipe,2011,7,33
27420,545,38.83713732,-4.77558442,Pangani,Tanga,4,8,other,200.0,True,VWC,True,1971,gravity,vwc,never pay,coloured,insufficient,spring,communal standpipe,2011,3,40
707,1642,37.65808091,-3.7238624,Pangani,Kilimanjaro,3,2,other,45.0,True,WUA,False,1972,gravity,wua,pay monthly,soft,enough,spring,communal standpipe,2013,2,41
48489,362,37.47632192,-6.28331307,Wami / Ruvu,Morogoro,5,6,other,1.0,True,VWC,True,1984,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2011,2,27
51008,874,33.32603356,-8.88128573,Lake Rukwa,Mbeya,12,2,rural,229.0,True,VWC,False,2002,gravity,wug,pay when scheme fails,soft,dry,river,communal standpipe,2011,3,9
72562,128,40.04071287,-10.49203103,Ruvuma / Southern Coast,Mtwara,99,1,rural,400.0,True,VWC,True,2006,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe multiple,2013,2,7
10275,216,38.72134804,-5.17252308,Pangani,Tanga,4,3,other,120.0,True,VWC,False,1983,india mark ii,vwc,never pay,soft,insufficient,shallow well,hand pump,2011,3,28
53540,56,33.14491487,-3.71753771,Lake Victoria,Shinyanga,17,3,rural,180.0,True,VWC,True,1975,other,vwc,never pay,soft,enough,machine dbh,communal standpipe multiple,2012,10,37
43291,191,33.33199615,-2.70336413,Lake Victoria,Mwanza,19,4,other,132.0,True,VWC,True,2002,swn 80,vwc,never pay,unknown,dry,shallow well,hand pump,2011,8,9
